;special;age;height_cm;weight_kg;eur_value;overall;potential;pac;sho;pas;dri;def;phy;international_reputation;skill_moves;crossing;finishing;heading_accuracy;short_passing;volleys;dribbling;curve;free_kick_accuracy;long_passing;ball_control;acceleration;sprint_speed;agility;reactions;balance;shot_power;jumping;stamina;strength;long_shots;aggression;interceptions;positioning;vision;penalties;composure;marking;standing_tackle;sliding_tackle;gk_diving;gk_handling;gk_kicking;gk_positioning;gk_reflexes;coste;rs;rw;rf;ram;rcm;rm;rdm;rcb;rb;rwb;st;lw;cf;cam;cm;lm;cdm;cb;lb;lwb;ls;lf;lam;lcm;ldm;lcb;gk
ball_control;0,90590927;0,083563433;-0,417537906;-0,355454487;0,307934394;0,450595245;0,359492938;0,281331692;0,20916577;0,358016167;0,409030339;0,135137087;0,115172135;0,221745994;0,719049752;0,838661815;0,784658877;0,652464695;0,905458347;0,792615851;0,933019075;0,831761;0,763588444;0,783525861;1;0,672385084;0,66613813;0,701068229;0,428396387;0,599033202;0,828754985;0,176256254;0,72325766;0,073242862;0,833308134;0,53817774;0,397243206;0,861332968;0,721672549;0,769427083;0,761843139;0,362704718;0,394054589;0,364321996;-0,782386665;-0,779460319;-0,777635545;-0,777860944;-0,781451557;NA;0,939554159;0,955384613;0,956110838;0,960537781;0,944258746;0,954623477;0,802530518;0,68714832;0,791978343;0,835132471;0,939554159;0,955384613;0,956110838;0,960537781;0,944258746;0,954623477;0,802530518;0,68714832;0,791978343;0,835132471;0,939554159;0,956110838;0,960537781;0,944258746;0,802530518;0,68714832;-0,798474105
acceleration;0,650230311;-0,152598139;-0,54064638;-0,481142543;0,175553504;0,203532015;0,246378648;0,766224085;0,115969649;0,151565706;0,355943934;-0,036997148;-0,085675976;0,056208717;0,620558768;0,658872173;0,59750203;0,335821848;0,562898091;0,567776458;0,744362261;0,599955513;0,493650588;0,434679734;0,672385084;1;0,916645548;0,798737605;0,190686879;0,701974209;0,537407253;0,213847062;0,607219207;-0,16241591;0,572687108;0,25267457;0,151549831;0,672985611;0,457145687;0,528133578;0,436392072;0,137007962;0,155849152;0,155924439;-0,587810137;-0,588639874;-0,586168991;-0,585463696;-0,586349436;NA;0,693934752;0,746148054;0,721218899;0,71307325;0,647241252;0,736707066;0,497924719;0,40190697;0,55099863;0,59206787;0,693934752;0,746148054;0,721218899;0,71307325;0,647241252;0,736707066;0,497924719;0,40190697;0,55099863;0,59206787;0,693934752;0,721218899;0,71307325;0,647241252;0,497924719;0,40190697;-0,599766103
sprint_speed;0,648325922;-0,142585694;-0,465888256;-0,416280065;0,180641061;0,221101224;0,254864295;0,770447307;0,100128169;0,122983555;0,317527457;-0,012320657;-0,018413085;0,063454338;0,598061273;0,642559802;0,5876877;0,38661541;0,557143191;0,560302965;0,72725845;0,578320152;0,468725772;0,42651844;0,66613813;0,916645548;1;0,753524768;0,194229215;0,636957338;0,548402719;0,236378163;0,622388668;-0,082118965;0,56011726;0,284777224;0,167160545;0,660950765;0,430730365;0,520187559;0,444014054;0,158513009;0,174760642;0,17350747;-0,594366344;-0,595399683;-0,592880267;-0,592694196;-0,593485816;NA;0,699428422;0,739050885;0,717411106;0,705965711;0,645646458;0,731611152;0,510115791;0,426717376;0,563979344;0,601021075;0,699428422;0,739050885;0,717411106;0,705965711;0,645646458;0,731611152;0,510115791;0,426717376;0,563979344;0,601021075;0,699428422;0,717411106;0,705965711;0,645646458;0,510115791;0,426717376;-0,606510068
agility;0,690503162;-0,018306401;-0,623885937;-0,548508672;0,200143314;0,263958499;0,23257723;0,603733474;0,252171139;0,330982726;0,511089592;-0,073450536;-0,120550069;0,110992937;0,634274397;0,689340856;0,632844663;0,258879828;0,611093488;0,621380383;0,758932411;0,673773435;0,581990458;0,515070923;0,701068229;0,798737605;0,753524768;1;0,277458632;0,766478807;0,566190242;0,213794695;0,560879477;-0,244657328;0,637546476;0,236188783;0,130001307;0,698126681;0,589798696;0,558932917;0,492456587;0,090481371;0,112690506;0,106505286;-0,517984519;-0,516527245;-0,516497861;-0,516165036;-0,51815931;NA;0,67310509;0,737044028;0,713126693;0,717466959;0,652181227;0,721378633;0,471150371;0,345418396;0,498091735;0,549384163;0,67310509;0,737044028;0,713126693;0,717466959;0,652181227;0,721378633;0,471150371;0,345418396;0,498091735;0,549384163;0,67310509;0,713126693;0,717466959;0,652181227;0,471150371;0,345418396;-0,530284294
reactions;0,586286262;0,461962876;-0,021703189;0,072930482;0,528796039;0,839135288;0,514208631;0,196677968;0,41675075;0,583849589;0,535292935;0,299471967;0,4799396;0,457335806;0,212034115;0,379565644;0,318724049;0,313262158;0,462336419;0,382347628;0,349690264;0,406404664;0,395665217;0,447205652;0,428396387;0,190686879;0,194229215;0,277458632;1;0,138933359;0,405266889;0,254029714;0,352750746;0,286419228;0,411005455;0,396307348;0,328448357;0,37726036;0,481307583;0,335896784;0,593978839;0,235078815;0,239619593;0,212405825;-0,053422278;-0,051482055;-0,057433531;-0,044331587;-0,050502319;NA;0,33803302;0,32978618;0,34289139;0,345713059;0,369825549;0,332483864;0,338647068;0,291698471;0,310025434;0,323526355;0,33803302;0,32978618;0,34289139;0,345713059;0,369825549;0,332483864;0,338647068;0,291698471;0,310025434;0,323526355;0,33803302;0,34289139;0,345713059;0,369825549;0,338647068;0,291698471;-0,061706609
balance;0,579591566;-0,08613768;-0,793564485;-0,678560823;0,105551772;0,09751165;0,134157545;0,47333044;0,113337595;0,236404203;0,374113832;-0,043164037;-0,275951261;0,04306195;0,55967926;0,615914841;0,513097008;0,171930515;0,536385552;0,51129883;0,66230974;0,578923906;0,5104884;0,458383902;0,599033202;0,701974209;0,636957338;0,766478807;0,138933359;1;0,453301138;0,185156372;0,470370062;-0,403870853;0,523681213;0,183381333;0,145073947;0,587914814;0,488442162;0,478701314;0,373872073;0,123673023;0,144722798;0,150866669;-0,503202945;-0,505910986;-0,501734934;-0,502511105;-0,504053435;NA;0,574140839;0,646982657;0,621884429;0,630601724;0,582629972;0,638474172;0,43700287;0,32328906;0,466092234;0,509350331;0,574140839;0,646982657;0,621884429;0,630601724;0,582629972;0,638474172;0,43700287;0,32328906;0,466092234;0,509350331;0,574140839;0,621884429;0,630601724;0,582629972;0,43700287;0,32328906;-0,512911153
shot_power;0,829431475;0,151036513;-0,288507146;-0,204088057;0,278971377;0,428146215;0,290128647;0,213853867;0,412140238;0,341484938;0,34935375;0,030928492;0,184629102;0,225484155;0,637103734;0,703618892;0,800030374;0,615253229;0,769374653;0,822340159;0,797502423;0,785959535;0,749276824;0,668306737;0,828754985;0,537407253;0,548402719;0,566190242;0,405266889;0,453301138;1;0,171303616;0,619432859;0,16536537;0,880513765;0,493051527;0,266138065;0,801777238;0,668666759;0,787306256;0,698165275;0,220460925;0,254683415;0,220887932;-0,656188861;-0,654644573;-0,651098803;-0,653823265;-0,655589759;NA;0,866947216;0,833228401;0,853419208;0,839946363;0,810611838;0,821598035;0,652210189;0,550248217;0,631940177;0,672939327;0,866947216;0,833228401;0,853419208;0,839946363;0,810611838;0,821598035;0,652210189;0,550248217;0,631940177;0,672939327;0,866947216;0,853419208;0,839946363;0,810611838;0,652210189;0,550248217;-0,671250653
jumping;0,31310791;0,168540079;-0,069621036;-0,003918322;0,139862163;0,272472907;0,132281309;0,135377179;-0,061877225;-0,022252798;-0,002436934;0,279503245;0,406630925;0,133023829;0,030959591;0,12126601;0,075810226;0,363524159;0,180981933;0,101238283;0,12080954;0,091218458;0,068003127;0,142383075;0,176256254;0,213847062;0,236378163;0,213794695;0,254029714;0,185156372;0,171303616;1;0,347041126;0,268150343;0,115086957;0,36706169;0,291118564;0,124357197;0,047696923;0,111868292;0,25945854;0,270600375;0,26279282;0,263302755;-0,172789493;-0,175664149;-0,175261978;-0,17206097;-0,173375501;NA;0,20725081;0,178721103;0,182418345;0,178232228;0,209754798;0,189897529;0,277914211;0,323743361;0,288056107;0,272949182;0,20725081;0,178721103;0,182418345;0,178232228;0,209754798;0,189897529;0,277914211;0,323743361;0,288056107;0,272949182;0,20725081;0,182418345;0,178232228;0,209754798;0,277914211;0,323743361;-0,183548861
stamina;0,79156862;0,086837055;-0,289698718;-0,24146762;0,211178177;0,356162792;0,219911391;0,261031385;-0,050805155;0,146775609;0,121227687;0,372874769;0,424946323;0,113472039;0,455747533;0,663476295;0,499950814;0,639293809;0,710080907;0,523556914;0,676625106;0,590126608;0,538527519;0,628667806;0,72325766;0,607219207;0,622388668;0,560879477;0,352750746;0,470370062;0,619432859;0,347041126;1;0,247705697;0,592725549;0,64578035;0,571300871;0,634673772;0,470483584;0,5162379;0,605501529;0,541543894;0,563307397;0,540230263;-0,702070283;-0,699526907;-0,69782762;-0,696503099;-0,700248013;NA;0,754508044;0,757050158;0,753286384;0,758857336;0,801188035;0,781601174;0,801294185;0,753008477;0,812516689;0,826740442;0,754508044;0,757050158;0,753286384;0,758857336;0,801188035;0,781601174;0,801294185;0,753008477;0,812516689;0,826740442;0,754508044;0,753286384;0,758857336;0,801188035;0,801294185;0,753008477;-0,718244902
strength;0,188576671;0,320327485;0,544432967;0,613090134;0,1413551;0,355377455;0,107200739;-0,252312983;-0,070713349;-0,070720046;-0,203563123;0,387628768;0,840081665;0,148591511;-0,135188807;-0,041186215;-0,02054614;0,468719469;0,113575121;0,014604635;-0,053482171;-0,039829544;-0,010678626;0,105637703;0,073242862;-0,16241591;-0,082118965;-0,244657328;0,286419228;-0,403870853;0,16536537;0,268150343;0,247705697;1;0,042984468;0,46443496;0,355854236;-0,004810992;-0,053397084;0,04400814;0,267220646;0,340532507;0,332590039;0,299066386;-0,096321981;-0,093098232;-0,096741527;-0,089404081;-0,094825508;NA;0,127736061;0,030647945;0,060053389;0,051170417;0,125458559;0,051161282;0,269409091;0,360893824;0,23299226;0,199740183;0,127736061;0,030647945;0,060053389;0,051170417;0,125458559;0,051161282;0,269409091;0,360893824;0,23299226;0,199740183;0,127736061;0,060053389;0,051170417;0,125458559;0,269409091;0,360893824;-0,10329289
long_shots;0,832324471;0,150711322;-0,374987979;-0,287135621;0,278532857;0,411581037;0,272161458;0,278607682;0,519516102;0,436627199;0,470539069;-0,059207441;0,079260295;0,21073623;0,677605527;0,740117579;0,866759891;0,509172175;0,762254008;0,859846925;0,838415303;0,832374311;0,801414461;0,66606904;0,833308134;0,572687108;0,56011726;0,637546476;0,411005455;0,523681213;0,880513765;0,115086957;0,592725549;0,042984468;1;0,387804899;0,18745733;0,854712199;0,747795236;0,805308255;0,665808504;0,125978405;0,161536706;0,126602881;-0,608227152;-0,605350641;-0,60235419;-0,60426934;-0,605877034;NA;0,85252079;0,845577585;0,8577651;0,849638119;0,799136459;0,823937459;0,588635814;0,458060881;0,569664748;0,622821937;0,85252079;0,845577585;0,8577651;0,849638119;0,799136459;0,823937459;0,588635814;0,458060881;0,569664748;0,622821937;0,85252079;0,8577651;0,849638119;0,799136459;0,588635814;0,458060881;-0,62202785
aggression;0,66695756;0,265589216;-0,048031849;0,017590428;0,187400647;0,398815656;0,185443987;-0,088146294;-0,199845408;0,083451611;-0,079884071;0,625973227;0,6264589;0,174998342;0,215265388;0,466257235;0,231040196;0,687145935;0,595276931;0,316890422;0,422135331;0,392010559;0,396441148;0,57870027;0,53817774;0,25267457;0,284777224;0,236188783;0,396307348;0,183381333;0,493051527;0,36706169;0,64578035;0,46443496;0,387804899;1;0,743185403;0,375836624;0,295391558;0,331944117;0,581862536;0,715720869;0,732659835;0,709156787;-0,568097499;-0,566778943;-0,56496944;-0,563464791;-0,568433447;NA;0,561098587;0,530249061;0,5391933;0,551510658;0,648663497;0,562995692;0,789565356;0,820758361;0,764491026;0,744279544;0,561098587;0,530249061;0,5391933;0,551510658;0,648663497;0,562995692;0,789565356;0,820758361;0,764491026;0,744279544;0,561098587;0,5391933;0,551510658;0,648663497;0,789565356;0,820758361;-0,58337842
interceptions;0,564309488;0,203933446;-0,045643659;-0,026390766;0,140123368;0,324036461;0,162630817;-0,170987606;-0,426797232;0,08126855;-0,184272663;0,90081912;0,484583953;0,134609849;0,056493736;0,418308353;-0,036355078;0,548006424;0,521333719;0,074846355;0,271133316;0,265317683;0,292463957;0,584015616;0,397243206;0,151549831;0,167160545;0,130001307;0,328448357;0,145073947;0,266138065;0,291118564;0,571300871;0,355854236;0,18745733;0,743185403;1;0,156942913;0,173747968;0,111486057;0,447825264;0,928460042;0,935183601;0,920845331;-0,47955989;-0,478890594;-0,477219243;-0,47498596;-0,479618548;NA;0,37366594;0,379581043;0,372893287;0,405498065;0,557623166;0,429635976;0,805066993;0,862017485;0,796071862;0,755418951;0,37366594;0,379581043;0,372893287;0,405498065;0,557623166;0,429635976;0,805066993;0,862017485;0,796071862;0,755418951;0,37366594;0,372893287;0,405498065;0,557623166;0,805066993;0,862017485;-0,491381638
positioning;0,814834935;0,080989069;-0,431896446;-0,357635276;0,260190234;0,347986393;0,250526232;0,362531393;0,406938605;0,351243867;0,456904542;-0,112638485;0,024313033;0,183686261;0,717909915;0,777303989;0,882583875;0,531794979;0,758204527;0,847094034;0,893447194;0,808564412;0,732377074;0,610952881;0,861332968;0,672985611;0,660950765;0,698126681;0,37726036;0,587914814;0,801777238;0,124357197;0,634673772;-0,004810992;0,854712199;0,375836624;0,156942913;1;0,734683261;0,799998582;0,651814779;0,1025912;0,141290792;0,110928369;-0,674373679;-0,67123908;-0,668713736;-0,670480514;-0,673375729;NA;0,898674664;0,901193033;0,908733589;0,894552351;0,827573299;0,88207082;0,601919527;0,470827271;0,599709181;0,656263123;0,898674664;0,901193033;0,908733589;0,894552351;0,827573299;0,88207082;0,601919527;0,470827271;0,599709181;0,656263123;0,898674664;0,908733589;0,894552351;0,827573299;0,601919527;0,470827271;-0,688472395
vision;0,753399247;0,190141294;-0,369766141;-0,295513135;0,342740988;0,479114687;0,338850834;0,292332449;0,507944967;0,684843174;0,612850358;-0,012814601;0,060674764;0,276593079;0,576923152;0,682121797;0,690347463;0,283515686;0,718515907;0,694954007;0,728972393;0,743835667;0,71444586;0,690445009;0,721672549;0,457145687;0,430730365;0,589798696;0,481307583;0,488442162;0,668666759;0,047696923;0,470483584;-0,053397084;0,747795236;0,295391558;0,173747968;0,734683261;1;0,6369968;0,633742898;0,094711642;0,135060414;0,104035797;-0,389295688;-0,384144455;-0,383146162;-0,384510104;-0,387828456;NA;0,654507267;0,693092254;0,697277889;0,712783636;0,678262197;0,683065759;0,47650537;0,327879672;0,442636184;0,496115484;0,654507267;0,693092254;0,697277889;0,712783636;0,678262197;0,683065759;0,47650537;0,327879672;0,442636184;0,496115484;0,654507267;0,697277889;0,712783636;0,678262197;0,47650537;0,327879672;-0,400681656
penalties;0,731409344;0,132666207;-0,339747173;-0,262769294;0,240445453;0,333607268;0,22363979;0,210079702;0,412184129;0,280759552;0,341139686;-0,125900117;0,02225948;0,210648429;0,664742079;0,650637932;0,833313854;0,551775423;0,680096763;0,823393624;0,768316069;0,750922202;0,737070703;0,546119799;0,769427083;0,528133578;0,520187559;0,558932917;0,335896784;0,478701314;0,787306256;0,111868292;0,5162379;0,04400814;0,805308255;0,331944117;0,111486057;0,799998582;0,6369968;1;0,620060603;0,072658699;0,102779123;0,07044829;-0,618685362;-0,616816586;-0,613239417;-0,616846115;-0,617758153;NA;0,814557384;0,792143519;0,806724763;0,792093853;0,733892152;0,772102209;0,5319955;0,421795206;0,519102564;0,566762802;0,814557384;0,792143519;0,806724763;0,792093853;0,733892152;0,772102209;0,5319955;0,421795206;0,519102564;0,566762802;0,814557384;0,806724763;0,792093853;0,733892152;0,5319955;0,421795206;-0,633188783
composure;0,801835039;0,323296982;-0,190021879;-0,115185577;0,400257662;0,628191771;0,39755616;0,151160228;0,233940814;0,401924546;0,341669839;0,274786196;0,342072814;0,359285027;0,517690044;0,644212841;0,58681948;0,609541049;0,755529816;0,643971825;0,677968621;0,667254408;0,635158293;0,69234831;0,761843139;0,436392072;0,444014054;0,492456587;0,593978839;0,373872073;0,698165275;0,25945854;0,605501529;0,267220646;0,665808504;0,581862536;0,447825264;0,651814779;0,633742898;0,620060603;1;0,396295953;0,416814788;0,38261362;-0,552532778;-0,547028621;-0,547090127;-0,544269681;-0,550941862;NA;0,729191592;0,717621514;0,728203727;0,733559309;0,751774327;0,723616012;0,687475559;0,617640953;0,662457877;0,685136135;0,729191592;0,717621514;0,728203727;0,733559309;0,751774327;0,723616012;0,687475559;0,617640953;0,662457877;0,685136135;0,729191592;0,728203727;0,733559309;0,751774327;0,687475559;0,617640953;-0,566000362
marking;0,50800216;0,145717581;-0,039570601;-0,028072641;0,07683208;0,244006994;0,123774079;-0,197282365;-0,518216221;-0,011699402;-0,27065433;0,914725379;0,440762212;0,077207561;0,025916304;0,386143041;-0,084858015;0,556229482;0,483049359;0,020799873;0,23660229;0,213035727;0,235121155;0,542715744;0,362704718;0,137007962;0,158513009;0,090481371;0,235078815;0,123673023;0,220460925;0,270600375;0,541543894;0,340532507;0,125978405;0,715720869;0,928460042;0,1025912;0,094711642;0,072658699;0,396295953;1;0,961257186;0,961057839;-0,499347628;-0,499534956;-0,49875892;-0,495359109;-0,499733114;NA;0,349337615;0,354277443;0,345272083;0,377601494;0,530540943;0,406578702;0,79790601;0,872983724;0,798072606;0,750750502;0,349337615;0,354277443;0,345272083;0,377601494;0,530540943;0,406578702;0,79790601;0,872983724;0,798072606;0,750750502;0,349337615;0,345272083;0,377601494;0,530540943;0,79790601;0,872983724;-0,511691588
standing_tackle;0,538250835;0,126183549;-0,05154609;-0,04561704;0,102946952;0,249613001;0,144273137;-0,190070421;-0,499113628;0,009993619;-0,250864338;0,904975374;0,436243113;0,098717926;0,061316742;0,415363825;-0,0517036;0,561870296;0,516476097;0,055564995;0,273720715;0,249349975;0,272450922;0,570751776;0,394054589;0,155849152;0,174760642;0,112690506;0,239619593;0,144722798;0,254683415;0,26279282;0,563307397;0,332590039;0,161536706;0,732659835;0,935183601;0,141290792;0,135060414;0,102779123;0,416814788;0,961257186;1;0,972622378;-0,525601973;-0,525441348;-0,525115291;-0,52231063;-0,526388546;NA;0,382657629;0,389458328;0,3809245;0,413610927;0,566054897;0,441048026;0,822418483;0,889993328;0,821407564;0,776189191;0,382657629;0,389458328;0,3809245;0,413610927;0,566054897;0,441048026;0,822418483;0,889993328;0,821407564;0,776189191;0,382657629;0,3809245;0,413610927;0,566054897;0,822418483;0,889993328;-0,537846129
sliding_tackle;0,51041636;0,108157681;-0,067442268;-0,061213034;0,083206806;0,218618736;0,128338834;-0,175500846;-0,523572275;-0,003807627;-0,259786539;0,901498541;0,407382292;0,084235755;0,03807903;0,402899599;-0,087958805;0,532646197;0,487267292;0,02272533;0,250709133;0,223669539;0,244033231;0,549682269;0,364321996;0,155924439;0,17350747;0,106505286;0,212405825;0,150866669;0,220887932;0,263302755;0,540230263;0,299066386;0,126602881;0,709156787;0,920845331;0,110928369;0,104035797;0,07044829;0,38261362;0,961057839;0,972622378;1;-0,505924175;-0,506060417;-0,505214564;-0,502310631;-0,506109253;NA;0,350732534;0,362720655;0,351270258;0,384564541;0,535897469;0,415004409;0,798285061;0,869785328;0,804809647;0,758018117;0,350732534;0,362720655;0,351270258;0,384564541;0,535897469;0,415004409;0,798285061;0,869785328;0,804809647;0,758018117;0,350732534;0,351270258;0,384564541;0,535897469;0,798285061;0,869785328;-0,517024931
gk_diving;-0,672265335;0,10071215;0,361556842;0,347257692;-0,032155566;-0,020599121;-0,049054297;-0,041733408;0,261957638;0,163650541;0,160307281;-0,192262655;-0,019205865;0,006598568;-0,614199467;-0,661879878;-0,581506523;-0,749905083;-0,724139783;-0,587345183;-0,748137431;-0,608060118;-0,559765527;-0,594054429;-0,782386665;-0,587810137;-0,594366344;-0,517984519;-0,053422278;-0,503202945;-0,656188861;-0,172789493;-0,702070283;-0,096321981;-0,608227152;-0,568097499;-0,47955989;-0,674373679;-0,389295688;-0,618685362;-0,552532778;-0,499347628;-0,525601973;-0,505924175;1;0,969421427;0,964334318;0,968738061;0,972725469;NA;-0,880647342;-0,870649913;-0,870372511;-0,871911098;-0,886640478;-0,883342297;-0,855416633;-0,81313461;-0,865782406;-0,879734923;-0,880647342;-0,870649913;-0,870372511;-0,871911098;-0,886640478;-0,883342297;-0,855416633;-0,81313461;-0,865782406;-0,879734923;-0,880647342;-0,870372511;-0,871911098;-0,886640478;-0,855416633;-0,81313461;0,984454204
gk_handling;-0,669718106;0,106043717;0,363880762;0,347668092;-0,030194829;-0,017068518;-0,048921983;-0,04535287;0,271110693;0,167525155;0,15986053;-0,196075933;-0,013177128;0,006371798;-0,611372746;-0,659671998;-0,578504719;-0,747889931;-0,721263782;-0,583669025;-0,745710449;-0,604848256;-0,557147321;-0,590992642;-0,779460319;-0,588639874;-0,595399683;-0,516527245;-0,051482055;-0,505910986;-0,654644573;-0,175664149;-0,699526907;-0,093098232;-0,605350641;-0,566778943;-0,478890594;-0,67123908;-0,384144455;-0,616816586;-0,547028621;-0,499534956;-0,525441348;-0,506060417;0,969421427;1;0,963916572;0,968417965;0,969256967;NA;-0,877267486;-0,86722145;-0,866968782;-0,868462972;-0,883432909;-0,879975005;-0,853070081;-0,811325678;-0,863512129;-0,877224033;-0,877267486;-0,86722145;-0,866968782;-0,868462972;-0,883432909;-0,879975005;-0,853070081;-0,811325678;-0,863512129;-0,877224033;-0,877267486;-0,866968782;-0,868462972;-0,883432909;-0,853070081;-0,811325678;0,982663431
gk_kicking;-0,667824863;0,102959573;0,359150826;0,344054263;-0,034957378;-0,024882711;-0,056984047;-0,04881092;0,262835011;0,179508444;0,155570729;-0,195532277;-0,021492923;0,001321762;-0,609197426;-0,657961146;-0,576403596;-0,7449842;-0,719760871;-0,581998246;-0,743391481;-0,602345139;-0,55482408;-0,588466125;-0,777635545;-0,586168991;-0,592880267;-0,516497861;-0,057433531;-0,501734934;-0,651098803;-0,175261978;-0,69782762;-0,096741527;-0,60235419;-0,56496944;-0,477219243;-0,668713736;-0,383146162;-0,613239417;-0,547090127;-0,49875892;-0,525115291;-0,505214564;0,964334318;0,963916572;1;0,96284287;0,96521654;NA;-0,874929724;-0,865125347;-0,864768653;-0,866430009;-0,881472074;-0,877929938;-0,851423364;-0,809768794;-0,86171997;-0,875386595;-0,874929724;-0,865125347;-0,864768653;-0,866430009;-0,881472074;-0,877929938;-0,851423364;-0,809768794;-0,86171997;-0,875386595;-0,874929724;-0,864768653;-0,866430009;-0,881472074;-0,851423364;-0,809768794;0,97758534
gk_positioning;-0,666578536;0,11569998;0,362403471;0,349390734;-0,031263508;-0,012146459;-0,049750726;-0,045040192;0,265338336;0,167057114;0,160902308;-0,190627206;-0,000775171;0,009435218;-0,610629958;-0,658621151;-0,578867543;-0,745447399;-0,719994525;-0,583971337;-0,744951026;-0,605336077;-0,557256517;-0,58981256;-0,777860944;-0,585463696;-0,592694196;-0,516165036;-0,044331587;-0,502511105;-0,653823265;-0,17206097;-0,696503099;-0,089404081;-0,60426934;-0,563464791;-0,47498596;-0,670480514;-0,384510104;-0,616846115;-0,544269681;-0,495359109;-0,52231063;-0,502310631;0,968738061;0,968417965;0,96284287;1;0,969134688;NA;-0,876267712;-0,866405667;-0,866126832;-0,867558337;-0,881942061;-0,878932878;-0,850542089;-0,808340612;-0,860923233;-0,874823851;-0,876267712;-0,866405667;-0,866126832;-0,867558337;-0,881942061;-0,878932878;-0,850542089;-0,808340612;-0,860923233;-0,874823851;-0,876267712;-0,866126832;-0,867558337;-0,881942061;-0,850542089;-0,808340612;0,98218557
gk_reflexes;-0,671005087;0,101732392;0,363848436;0,348134895;-0,031675989;-0,018541243;-0,048818485;-0,04318293;0,263976637;0,164331111;0,166487579;-0,193110734;-0,016585191;0,005586986;-0,612891199;-0,662023427;-0,579840091;-0,749214861;-0,723749387;-0,585057957;-0,747732109;-0,60698014;-0,558931316;-0,593559526;-0,781451557;-0,586349436;-0,593485816;-0,51815931;-0,050502319;-0,504053435;-0,655589759;-0,173375501;-0,700248013;-0,094825508;-0,605877034;-0,568433447;-0,479618548;-0,673375729;-0,387828456;-0,617758153;-0,550941862;-0,499733114;-0,526388546;-0,506109253;0,972725469;0,969256967;0,96521654;0,969134688;1;NA;-0,879630694;-0,869839766;-0,869477882;-0,871118278;-0,886024201;-0,882641621;-0,855201628;-0,81307534;-0,865460439;-0,879338232;-0,879630694;-0,869839766;-0,869477882;-0,871118278;-0,886024201;-0,882641621;-0,855201628;-0,81307534;-0,865460439;-0,879338232;-0,879630694;-0,869477882;-0,871118278;-0,886024201;-0,855201628;-0,81307534;0,984626467
coste;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
